Channel ID,Channel URL,Channel title
UCQSMCVUX1HgrwxJhO_7VrJQ,http://www.youtube.com/channel/UCQSMCVUX1HgrwxJhO_7VrJQ,DataInterview
UCQUZV73fh96v6itGV1tZHUQ,http://www.youtube.com/channel/UCQUZV73fh96v6itGV1tZHUQ,ManiaKi Duniya
UCQXwgooTlP6tk2a-u6vgyUA,http://www.youtube.com/channel/UCQXwgooTlP6tk2a-u6vgyUA,Zerodha Varsity
UCR1I8lG-fhpVuS7s20iTSgA,http://www.youtube.com/channel/UCR1I8lG-fhpVuS7s20iTSgA,301 Diaries
UCR1IuLEqb6UEA_zQ81kwXfg,http://www.youtube.com/channel/UCR1IuLEqb6UEA_zQ81kwXfg,Real Engineering
UCRPMAqdtSgd0Ipeef7iFsKw,http://www.youtube.com/channel/UCRPMAqdtSgd0Ipeef7iFsKw,Gaurav Sen
UCRRr_xrOm66qaigIbwFLvbQ,http://www.youtube.com/channel/UCRRr_xrOm66qaigIbwFLvbQ,Simon Clark
UCRd9JHiQvqwT8O4d0QGI9jQ,http://www.youtube.com/channel/UCRd9JHiQvqwT8O4d0QGI9jQ,Scam Nation
UCRnCESkQPseZiFVxdFQARjg,http://www.youtube.com/channel/UCRnCESkQPseZiFVxdFQARjg,3b1b shorts
UCRvWt-hqdAQF1muHky56jxw,http://www.youtube.com/channel/UCRvWt-hqdAQF1muHky56jxw,JalRaj
UCRzYN32xtBf3Yxsx5BvJWJw,http://www.youtube.com/channel/UCRzYN32xtBf3Yxsx5BvJWJw,warikoo
UCS1ULOD8wyH7aAy1clR4HhQ,http://www.youtube.com/channel/UCS1ULOD8wyH7aAy1clR4HhQ,JO
UCSNeZleDn9c74yQc-EKnVTA,http://www.youtube.com/channel/UCSNeZleDn9c74yQc-EKnVTA,Kaggle
UCSUW6PdvIV8FCtOQ_Y1HUIw,http://www.youtube.com/channel/UCSUW6PdvIV8FCtOQ_Y1HUIw,phanumantu
